method_name,num_params,line_number,num_calls,num_locals,num_returns,num_invocations,body_size,num_control_structures,full_name
computePairwiseInnerProducts,1,Some(187),2,0,1,2,13,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.computePairwiseInnerProducts:org.apache.mahout.math.VectorIterable()
saveCleanEigens,3,Some(191),53,11,0,53,152,5,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.saveCleanEigens:void(org.apache.hadoop.conf.Configuration,java.util.Collection)
pruneEigens,2,Some(226),24,4,1,24,67,2,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.pruneEigens:java.util.List(java.util.Map)
verifyEigens,1,Some(252),14,4,1,14,46,1,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.verifyEigens:java.util.Map()
prepareEigens,4,Some(262),27,4,0,27,83,3,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.prepareEigens:void(org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.Path,boolean)
getCleanedEigensPath,1,Some(280),1,0,1,1,11,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.getCleanedEigensPath:org.apache.hadoop.fs.Path()
main,1,Some(284),4,1,0,4,18,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.main:void(java.lang.String[])
runJob,8,Some(293),40,5,0,40,125,1,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.runJob:void(org.apache.hadoop.conf.Configuration,org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,org.apache.hadoop.fs.Path,boolean,double,int)
<init>,1,Some(72),0,0,0,0,7,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.<init>:void()
<clinit>,0,Some(72),6,0,0,6,18,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.<clinit>:void()
compare,3,Some(236),9,2,3,9,41,2,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.pruneEigens.Comparator$0.compare:<unresolvedSignature>(2)
<init>,2,Some(235),2,0,0,2,14,0,org.apache.mahout.math.hadoop.decomposer.EigenVerificationJob.pruneEigens.Comparator$0.<init>:void()
<init>,1,Some(179),0,0,0,0,7,0,org.apache.lucene.util.LuceneTestCase$State.<init>:void()
<init>,3,Some(190),4,0,0,4,21,0,org.apache.lucene.util.LuceneTestCase$UncaughtExceptionEntry.<init>:void(java.lang.Thread,java.lang.Throwable)
<init>,3,Some(207),4,0,0,4,21,0,org.apache.lucene.util.LuceneTestCase$TwoLongs.<init>:void(long,long)
toString,1,Some(212),4,0,1,4,18,0,org.apache.lucene.util.LuceneTestCase$TwoLongs.toString:java.lang.String()
fromString,1,Some(217),13,2,1,13,40,0,org.apache.lucene.util.LuceneTestCase$TwoLongs.fromString:org.apache.lucene.util.LuceneTestCase$TwoLongs(java.lang.String)
initRandom,0,Some(229),20,0,0,20,47,0,org.apache.lucene.util.LuceneTestCase.initRandom:void()
beforeClassLuceneTestCaseJ4,0,Some(236),49,1,0,49,119,2,org.apache.lucene.util.LuceneTestCase.beforeClassLuceneTestCaseJ4:void()
afterClassLuceneTestCaseJ4,0,Some(262),160,10,0,160,390,18,org.apache.lucene.util.LuceneTestCase.afterClassLuceneTestCaseJ4:void()
setUp,1,Some(385),36,1,0,36,90,1,org.apache.lucene.util.LuceneTestCase.setUp:void()
purgeFieldCache,2,Some(418),1,0,0,1,11,0,org.apache.lucene.util.LuceneTestCase.purgeFieldCache:void(org.apache.lucene.search.FieldCache)
getTestLabel,1,Some(422),5,0,1,5,16,0,org.apache.lucene.util.LuceneTestCase.getTestLabel:java.lang.String()
setUseCompoundFile,2,Some(426),8,0,0,8,38,4,org.apache.lucene.util.LuceneTestCase.setUseCompoundFile:void(org.apache.lucene.index.MergePolicy,boolean)
setMergeFactor,2,Some(436),10,0,0,10,43,4,org.apache.lucene.util.LuceneTestCase.setMergeFactor:void(org.apache.lucene.index.MergePolicy,int)
tearDown,1,Some(447),66,3,0,66,168,8,org.apache.lucene.util.LuceneTestCase.tearDown:void()
threadCleanup,1,Some(521),58,4,1,58,156,9,org.apache.lucene.util.LuceneTestCase.threadCleanup:int(java.lang.String)
assertSaneFieldCaches,2,Some(584),18,2,0,18,70,5,org.apache.lucene.util.LuceneTestCase.assertSaneFieldCaches:void(java.lang.String)
atLeast,2,Some(615),10,2,1,10,38,0,org.apache.lucene.util.LuceneTestCase.atLeast:int(java.util.Random,int)
atLeast,1,Some(621),2,0,1,2,13,0,org.apache.lucene.util.LuceneTestCase.atLeast:int(int)
rarely,1,Some(631),12,2,1,12,40,0,org.apache.lucene.util.LuceneTestCase.rarely:boolean(java.util.Random)
rarely,0,Some(638),2,0,1,2,10,0,org.apache.lucene.util.LuceneTestCase.rarely:boolean()
usually,1,Some(642),2,0,1,2,11,0,org.apache.lucene.util.LuceneTestCase.usually:boolean(java.util.Random)
usually,0,Some(646),2,0,1,2,10,0,org.apache.lucene.util.LuceneTestCase.usually:boolean()
assertEquals,2,Some(652),1,0,0,1,14,0,org.apache.lucene.util.LuceneTestCase.assertEquals:void(double,double)
assertEquals,3,Some(657),3,0,0,3,20,0,org.apache.lucene.util.LuceneTestCase.assertEquals:void(java.lang.String,double,double)
assertEquals,2,Some(662),1,0,0,1,14,0,org.apache.lucene.util.LuceneTestCase.assertEquals:void(float,float)
assertEquals,3,Some(667),3,0,0,3,20,0,org.apache.lucene.util.LuceneTestCase.assertEquals:void(java.lang.String,float,float)
<init>,2,Some(675),1,0,0,1,11,0,org.apache.lucene.util.LuceneTestCase$TestIgnoredException.<init>:void(java.lang.String)
<init>,3,Some(679),1,0,0,1,14,0,org.apache.lucene.util.LuceneTestCase$TestIgnoredException.<init>:void(java.lang.String,java.lang.Throwable)
getMessage,1,Some(683),10,1,1,10,31,1,org.apache.lucene.util.LuceneTestCase$TestIgnoredException.getMessage:java.lang.String()
printStackTrace,2,Some(692),8,0,0,8,31,2,org.apache.lucene.util.LuceneTestCase$TestIgnoredException.printStackTrace:void(java.io.PrintStream)
assumeTrue,2,Some(703),5,1,0,5,23,0,org.apache.lucene.util.LuceneTestCase.assumeTrue:void(java.lang.String,boolean)
assumeFalse,2,Some(707),2,0,0,2,13,0,org.apache.lucene.util.LuceneTestCase.assumeFalse:void(java.lang.String,boolean)
assumeNoException,2,Some(711),6,1,0,6,26,0,org.apache.lucene.util.LuceneTestCase.assumeNoException:void(java.lang.String,java.lang.Exception)
dumpIterator,3,Some(722),12,0,0,12,44,3,org.apache.lucene.util.LuceneTestCase.dumpIterator:void(java.lang.String,java.util.Iterator,java.io.PrintStream)
dumpArray,3,Some(740),7,1,0,7,28,0,org.apache.lucene.util.LuceneTestCase.dumpArray:void(java.lang.String,java.lang.Object[],java.io.PrintStream)
newIndexWriterConfig,2,Some(747),2,0,1,2,17,0,org.apache.lucene.util.LuceneTestCase.newIndexWriterConfig:org.apache.lucene.index.IndexWriterConfig(java.util.Version,org.apache.lucene.analysis.Analyzer)
newIndexWriterConfig,3,Some(752),48,4,1,48,164,14,org.apache.lucene.util.LuceneTestCase.newIndexWriterConfig:org.apache.lucene.index.IndexWriterConfig(java.util.Random,java.util.Version,org.apache.lucene.analysis.Analyzer)
newLogMergePolicy,0,Some(798),2,0,1,2,10,0,org.apache.lucene.util.LuceneTestCase.newLogMergePolicy:org.apache.lucene.index.LogMergePolicy()
newTieredMergePolicy,0,Some(802),2,0,1,2,10,0,org.apache.lucene.util.LuceneTestCase.newTieredMergePolicy:org.apache.lucene.index.TieredMergePolicy()
newLogMergePolicy,1,Some(806),18,3,1,18,59,2,org.apache.lucene.util.LuceneTestCase.newLogMergePolicy:org.apache.lucene.index.LogMergePolicy(java.util.Random)
newTieredMergePolicy,1,Some(818),35,1,1,35,98,2,org.apache.lucene.util.LuceneTestCase.newTieredMergePolicy:org.apache.lucene.index.TieredMergePolicy(java.util.Random)
newLogMergePolicy,1,Some(837),3,1,1,3,16,0,org.apache.lucene.util.LuceneTestCase.newLogMergePolicy:org.apache.lucene.index.LogMergePolicy(boolean)
newLogMergePolicy,2,Some(843),4,1,1,4,21,0,org.apache.lucene.util.LuceneTestCase.newLogMergePolicy:org.apache.lucene.index.LogMergePolicy(boolean,int)
newLogMergePolicy,1,Some(850),3,1,1,3,16,0,org.apache.lucene.util.LuceneTestCase.newLogMergePolicy:org.apache.lucene.index.LogMergePolicy(int)
newDirectory,0,Some(866),2,0,1,2,11,0,org.apache.lucene.util.LuceneTestCase.newDirectory:org.apache.lucene.store.MockDirectoryWrapper()
newDirectory,1,Some(874),10,2,1,10,33,0,org.apache.lucene.util.LuceneTestCase.newDirectory:org.apache.lucene.store.MockDirectoryWrapper(java.util.Random)
newDirectory,1,Some(886),2,0,1,2,14,0,org.apache.lucene.util.LuceneTestCase.newDirectory:org.apache.lucene.store.MockDirectoryWrapper(org.apache.lucene.store.Directory)
newFSDirectory,1,Some(891),1,0,1,1,12,0,org.apache.lucene.util.LuceneTestCase.newFSDirectory:org.apache.lucene.store.MockDirectoryWrapper(java.io.File)
newFSDirectory,2,Some(896),50,4,1,50,144,8,org.apache.lucene.util.LuceneTestCase.newFSDirectory:org.apache.lucene.store.MockDirectoryWrapper(java.io.File,org.apache.lucene.store.LockFactory)
newDirectory,2,Some(936),17,4,1,17,55,1,org.apache.lucene.util.LuceneTestCase.newDirectory:org.apache.lucene.store.MockDirectoryWrapper(java.util.Random,org.apache.lucene.store.Directory)
newField,3,Some(948),2,0,1,2,20,0,org.apache.lucene.util.LuceneTestCase.newField:org.apache.lucene.document.Field(java.lang.String,java.lang.String,org.apache.lucene.document.Field.Index)
newField,4,Some(954),2,0,1,2,23,0,org.apache.lucene.util.LuceneTestCase.newField:org.apache.lucene.document.Field(java.lang.String,java.lang.String,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)
newField,5,Some(967),2,0,1,2,26,0,org.apache.lucene.util.LuceneTestCase.newField:org.apache.lucene.document.Field(java.lang.String,java.lang.String,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index,org.apache.lucene.document.Field.TermVector)
newField,4,Some(973),2,0,1,2,23,0,org.apache.lucene.util.LuceneTestCase.newField:org.apache.lucene.document.Field(java.util.Random,java.lang.String,java.lang.String,org.apache.lucene.document.Field.Index)
newField,5,Some(979),2,0,1,2,26,0,org.apache.lucene.util.LuceneTestCase.newField:org.apache.lucene.document.Field(java.util.Random,java.lang.String,java.lang.String,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index)
newField,6,Some(985),20,3,3,20,87,3,org.apache.lucene.util.LuceneTestCase.newField:org.apache.lucene.document.Field(java.util.Random,java.lang.String,java.lang.String,org.apache.lucene.document.Field.Store,org.apache.lucene.document.Field.Index,org.apache.lucene.document.Field.TermVector)
randomTVSetting,2,Some(1007),21,0,5,21,77,1,org.apache.lucene.util.LuceneTestCase.randomTVSetting:org.apache.lucene.document.Field.TermVector(java.util.Random,org.apache.lucene.document.Field.TermVector)
randomLocale,1,Some(1020),5,1,1,5,20,0,org.apache.lucene.util.LuceneTestCase.randomLocale:java.util.Locale(java.util.Random)
randomTimeZone,1,Some(1026),6,1,1,6,22,0,org.apache.lucene.util.LuceneTestCase.randomTimeZone:java.util.TimeZone(java.util.Random)
localeForName,1,Some(1032),23,5,3,23,82,1,org.apache.lucene.util.LuceneTestCase.localeForName:java.util.Locale(java.lang.String)
randomDirectory,1,Some(1053),6,0,2,6,27,2,org.apache.lucene.util.LuceneTestCase.randomDirectory:java.lang.String(java.util.Random)
newFSDirectoryImpl,2,Some(1061),8,2,1,8,37,2,org.apache.lucene.util.LuceneTestCase.newFSDirectoryImpl:org.apache.lucene.store.Directory(java.util.Class,java.io.File)
registerTempFile,1,Some(1077),5,0,0,5,16,0,org.apache.lucene.util.LuceneTestCase.registerTempFile:void(java.io.File)
newDirectoryImpl,2,Some(1081),28,3,2,28,89,5,org.apache.lucene.util.LuceneTestCase.newDirectoryImpl:org.apache.lucene.store.Directory(java.util.Random,java.lang.String)
newSearcher,1,Some(1106),1,0,1,1,12,0,org.apache.lucene.util.LuceneTestCase.newSearcher:org.apache.lucene.search.IndexSearcher(org.apache.lucene.index.IndexReader)
newSearcher,2,Some(1115),32,5,2,32,101,4,org.apache.lucene.util.LuceneTestCase.newSearcher:org.apache.lucene.search.IndexSearcher(org.apache.lucene.index.IndexReader,boolean)
shutdownExecutorService,1,Some(1139),5,0,0,5,25,3,org.apache.lucene.util.LuceneTestCase.shutdownExecutorService:void(java.util.concurrent.ExecutorService)
getName,1,Some(1150),1,0,1,1,11,0,org.apache.lucene.util.LuceneTestCase.getName:java.lang.String()
getDataFile,2,Some(1159),11,2,1,11,39,2,org.apache.lucene.util.LuceneTestCase.getDataFile:java.io.File(java.lang.String)
reportAdditionalFailureInfo,1,Some(1168),17,1,0,17,42,0,org.apache.lucene.util.LuceneTestCase.reportAdditionalFailureInfo:void()
reproduceWithExtraParams,1,Some(1175),29,1,1,29,83,5,org.apache.lucene.util.LuceneTestCase.reproduceWithExtraParams:java.lang.String()
<init>,2,Some(1196),1,0,0,1,11,0,org.apache.lucene.util.LuceneTestCase$SmartRandom.<init>:void(long)
